property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"3 BHK Flat for Sale in Hebbal, Bangalore",Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy,Project by Embassy
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1114.0 Sq-ft. This property belongs to ""Prestige Park Grove"" .","2 BHK Flat for Sale in Whitefield, Bangalore",Prestige Park Grove,Share Feedback,Share Feedback,Share Feedback,Share Feedback,Share Feedback,Share Feedback,Share Feedback
"Multistorey Apartment for Sale in Whitefield, Bangalore. Covered area is 1114.0 Sq-ft. This property belongs to ""Prestige Park Grove"" .",,,,,,,,,
"3 BHK Flat for Sale in Hoskote, Bangalore",Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha,Project by Sobha
"Multistorey Apartment for Sale in Hebbal, Bangalore. Covered area is 3544.0 Sq-ft. This property belongs to ""Embassy Lake Terraces"" .","3 BHK Flat for Sale in Hebbal, Bangalore",Embassy Lake Terraces,"42
+
Photos",Embassy Lake Terraces,Embassy Lake Terraces,Embassy Lake Terraces,Embassy Lake Terraces,Embassy Lake Terraces,Embassy Lake Terraces
"42
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Hebbal, Bangalore. Covered area is 3544.0 Sq-ft. This property belongs to ""Embassy Lake Terraces"" .",,,,,,,,,
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 1680.0 Sq-ft. This property belongs to ""Vajram Vivera"" .","3 BHK Flat for Sale in Yelahanka, Bangalore",Vajram Vivera,"31
+
Photos",Vajram Vivera,Vajram Vivera,Vajram Vivera,Vajram Vivera,Vajram Vivera,Vajram Vivera
"31
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 1680.0 Sq-ft. This property belongs to ""Vajram Vivera"" .",,,,,,,,,
"Multistorey Apartment for Sale in Hennur Gardens, Bangalore. Covered area is 1255.0 Sq-ft. This property belongs to ""Disha Harmony Gardens"" .","2 BHK Flat for Sale in Hennur Gardens, Bangalore",Disha Harmony Gardens,"2
+
Photos",Disha Harmony Gardens,Disha Harmony Gardens,Disha Harmony Gardens,Disha Harmony Gardens,Disha Harmony Gardens,Disha Harmony Gardens
"2
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Hennur Gardens, Bangalore. Covered area is 1255.0 Sq-ft. This property belongs to ""Disha Harmony Gardens"" .",,,,,,,,,
"Multistorey Apartment for Sale in Hoskote, Bangalore. Covered area is 1803.0 Sq-ft. This property belongs to ""Godrej Parkshire"" .","3 BHK Flat for Sale in Hoskote, Bangalore",Godrej Parkshire,"10
+
Photos",Godrej Parkshire,Godrej Parkshire,Godrej Parkshire,Godrej Parkshire,Godrej Parkshire,Godrej Parkshire
"10
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Hoskote, Bangalore. Covered area is 1803.0 Sq-ft. This property belongs to ""Godrej Parkshire"" .",,,,,,,,,
"Multistorey Apartment for Sale in Hagadur, Bangalore. Covered area is 1288.0 Sq-ft. This property belongs to ""Ankuraa Pristine Park"" .","2 BHK Flat for Sale in Hagadur, Bangalore",Ankuraa Pristine Park,"16
+
Photos",Ankuraa Pristine Park,Ankuraa Pristine Park,Ankuraa Pristine Park,Ankuraa Pristine Park,Ankuraa Pristine Park,Ankuraa Pristine Park
"16
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Hagadur, Bangalore. Covered area is 1288.0 Sq-ft. This property belongs to ""Ankuraa Pristine Park"" .",,,,,,,,,
"Villa for Sale in Sarjapur Road, Bangalore. Covered area is 3309.0 Sq-ft. This property belongs to ""NCC Urban Green Province"" .",3 BHK Villa for Sale in Sarjapur Road Bangalore,NCC Urban Green Province,"37
+
Photos",NCC Urban Green Province,NCC Urban Green Province,NCC Urban Green Province,NCC Urban Green Province,NCC Urban Green Province,NCC Urban Green Province
"37
+
Photos",,,,,,,,,
"Villa for Sale in Sarjapur Road, Bangalore. Covered area is 3309.0 Sq-ft. This property belongs to ""NCC Urban Green Province"" .",,,,,,,,,
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 1900.0 Sq-ft. This property belongs to ""Godrej Aveline"" .","3 BHK Flat for Sale in Yelahanka, Bangalore",Godrej Aveline,"10
+
Photos",Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline,Godrej Aveline
"Multistorey Apartment for Sale in Yelahanka, Bangalore. Covered area is 1900.0 Sq-ft. This property belongs to ""Godrej Aveline"" .",,,,,,,,,
"Multistorey Apartment for Sale in Old Madras Road, Bangalore. Covered area is 2366.0 Sq-ft. This property belongs to ""Sattva Magnificia"" .","3 BHK Flat for Sale in Old Madras Road, Bangalore",Sattva Magnificia,"33
+
Photos",Sattva Magnificia,Sattva Magnificia,Sattva Magnificia,Sattva Magnificia,Sattva Magnificia,Sattva Magnificia
"33
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Old Madras Road, Bangalore. Covered area is 2366.0 Sq-ft. This property belongs to ""Sattva Magnificia"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapura, Bangalore. Covered area is 1537.0 Sq-ft. This property belongs to ""The Clan by Global Edifice"" .","3 BHK Flat for Sale in Sarjapura, Bangalore",The Clan by Global Edifice,"19
+
Photos",The Clan by Global Edifice,The Clan by Global Edifice,The Clan by Global Edifice,The Clan by Global Edifice,The Clan by Global Edifice,The Clan by Global Edifice
"19
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapura, Bangalore. Covered area is 1537.0 Sq-ft. This property belongs to ""The Clan by Global Edifice"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1860.0 Sq-ft. This property belongs to ""Nambiar District 25"" .","3 BHK Flat for Sale in Sarjapur Road, Bangalore",Nambiar District 25,"6
+
Photos",Nambiar District 25,Nambiar District 25,Nambiar District 25,Nambiar District 25,Nambiar District 25,Nambiar District 25
"6
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1860.0 Sq-ft. This property belongs to ""Nambiar District 25"" .",,,,,,,,,
"Multistorey Apartment for Sale in Electronic City, Bangalore. Covered area is 1550.0 Sq-ft. This property belongs to ""Pragathi Amber"" .","3 BHK Flat for Sale in Electronic City, Bangalore",Pragathi Amber,"6
+
Photos",Pragathi Amber,Pragathi Amber,Pragathi Amber,Pragathi Amber,Pragathi Amber,Pragathi Amber
"Multistorey Apartment for Sale in Electronic City, Bangalore. Covered area is 1550.0 Sq-ft. This property belongs to ""Pragathi Amber"" .",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1685.0 Sq-ft. This property belongs to ""Abhee Celestial City"" .","3 BHK Flat for Sale in Sarjapur Road, Bangalore",Abhee Celestial City,"20
+
Photos",Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City,Abhee Celestial City
"20
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Sarjapur Road, Bangalore. Covered area is 1685.0 Sq-ft. This property belongs to ""Abhee Celestial City"" .",,,,,,,,,
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 2860.0 Sq-ft. This property belongs to ""Kumar Plumeria"" .","3 BHK Flat for Sale in Bagaluru, Bangalore",Kumar Plumeria,"5
+
Photos",Kumar Plumeria,Kumar Plumeria,Kumar Plumeria,Kumar Plumeria,Kumar Plumeria,Kumar Plumeria
"5
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in Bagaluru, Bangalore. Covered area is 2860.0 Sq-ft. This property belongs to ""Kumar Plumeria"" .",,,,,,,,,
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 1904.0 Sq-ft. This property belongs to ""Meenakshi Vrindavan"" .","3 BHK Flat for Sale in Hsr Layout, Bangalore",Meenakshi Vrindavan,"21
+
Photos",Meenakshi Vrindavan,Meenakshi Vrindavan,Meenakshi Vrindavan,Meenakshi Vrindavan,Meenakshi Vrindavan,Meenakshi Vrindavan
"21
+
Photos",,,,,,,,,
"Multistorey Apartment for Sale in HSR Layout, Bangalore. Covered area is 1904.0 Sq-ft. This property belongs to ""Meenakshi Vrindavan"" .",,,,,,,,,
"Multistorey Apartment for Sale in Krishnarajapura, Bangalore. Covered area is 1326.0 Sq-ft. This property belongs to ""Brigade Lakecrest"" .","2 BHK Flat for Sale in Krishnarajapura, Bangalore",Brigade Lakecrest,"5
+
Photos",Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest,Brigade Lakecrest
"Multistorey Apartment for Sale in Krishnarajapura, Bangalore. Covered area is 1326.0 Sq-ft. This property belongs to ""Brigade Lakecrest"" .",,,,,,,,,
"Multistorey Apartment for Sale in Devanahalli, Bangalore. Covered area is 1125.0 Sq-ft. This property belongs to ""Birla Trimaya Phase 3"" .","3 BHK Flat for Sale in Devanahalli, Bangalore",Birla Trimaya Phase 3,"16
+
Photos",Birla Trimaya Phase 3,Birla Trimaya Phase 3,Birla Trimaya Phase 3,Birla Trimaya Phase 3,Birla Trimaya Phase 3,Birla Trimaya Phase 3
