country,population,yearly_change,density,land_area,world_share_percentage
India,1476625576,0.87,497,2973190,17.79
China,1412914089,−0.22,150,9388211,17.02
United States,349035494,0.51,38,9147420,4.20
Indonesia,287886782,0.76,159,1811570,3.47
Pakistan,259299791,1.6,336,770880,3.12
Nigeria,242431832,2.06,266,910770,2.92
Brazil,213562666,0.35,26,8358140,2.57
Bangladesh,177818044,1.21,"1,366",130170,2.14
Russia,143394458,−0.42,9,16376870,1.73
Ethiopia,138902185,2.53,139,1000000,1.67
Mexico,132997658,0.8,68,1943950,1.60
Japan,122427731,−0.55,336,364555,1.47
Egypt,120101175,1.47,121,995450,1.45
Philippines,117724471,0.8,395,298170,1.42
DR Congo,116452162,3.21,51,2267050,1.40
Vietnam,102177431,0.57,330,310070,1.23
Iran,93168497,0.81,57,1628550,1.12
Turkey,87926082,0.27,114,769630,1.06
Germany,83644258,−0.51,240,348560,1.01
Tanzania,72563780,2.86,82,885800,0.87
Thailand,71559614,−0.08,140,510890,0.86
United Kingdom,69931528,0.55,289,241930,0.84
France,66746401,0.14,122,547557,0.80
South Africa,65453084,1.09,54,1213090,0.79
Italy,58926166,−0.37,200,294140,0.71
Kenya,58636412,1.92,103,569140,0.71
Myanmar,55184819,0.61,84,653290,0.66
Colombia,53936226,0.96,49,1109500,0.65
Sudan,53282719,3.14,30,1765048,0.64
Uganda,52761469,2.68,264,199810,0.64
South Korea,51600388,−0.13,531,97230,0.62
Algeria,48028334,1.25,20,2381740,0.58
Iraq,48007437,2.1,111,434320,0.58
Spain,47850793,−0.08,96,498800,0.58
Argentina,46003734,0.33,17,2736690,0.55
Afghanistan,45047069,2.74,69,652860,0.54
Yemen,42961653,2.84,81,527970,0.52
Canada,40467728,0.85,4,9093510,0.49
Angola,40215179,3.01,32,1246700,0.48
Ukraine,39535849,1.43,68,579320,0.48
Morocco,38762441,0.86,87,446300,0.47
Poland,37843188,−0.78,124,306230,0.46
Uzbekistan,37724223,1.81,89,425400,0.45
Mozambique,36639851,2.83,47,786380,0.44
Malaysia,36385115,1.13,111,328550,0.44
Ghana,35697557,1.81,157,227540,0.43
Saudi Arabia,35165787,1.73,16,2149690,0.42
Peru,34922148,1,27,1280000,0.42
Madagascar,33522052,2.39,58,581795,0.40
Côte d'Ivoire,33494346,2.39,105,318000,0.40
Cameroon,30640817,2.55,65,472710,0.37
Nepal,29629410,0.04,207,143350,0.36
Niger,28814878,3.21,23,1266700,0.35
Venezuela,28633711,0.41,32,882050,0.34
Australia,27227096,0.94,4,7682300,0.33
North Korea,26633691,0.24,221,120410,0.32
Syria,26472497,3.33,144,183630,0.32
Mali,25932275,2.91,21,1220190,0.31
Burkina Faso,24601700,2.19,90,273600,0.30
Sri Lanka,23348315,0.51,372,62710,0.28
Taiwan,23011292,−0.44,650,35410,0.28
Malawi,22785535,2.56,242,94280,0.27
Zambia,22521915,2.77,30,743390,0.27
Chad,21560380,2.65,17,1259200,0.26
Kazakhstan,21083626,1.15,8,2699700,0.25
Somalia,20305907,3.31,32,627340,0.24
Chile,19945850,0.43,27,743532,0.24
Senegal,19366548,2.3,101,192530,0.23
Guatemala,18967978,1.5,177,107160,0.23
Romania,18800605,−0.57,82,230170,0.23
Netherlands,18448775,0.56,547,33720,0.22
Ecuador,18444506,0.85,74,248360,0.22
Cambodia,18051219,1.14,102,176520,0.22
Zimbabwe,17273580,1.9,45,386850,0.21
Guinea,15441993,2.27,63,245720,0.19
Benin,15170419,2.4,135,112760,0.18
Rwanda,14889693,2.2,604,24670,0.18
Burundi,14729157,2.36,574,25680,0.18
Bolivia,12749291,1.33,12,1083300,0.15
South Sudan,12436037,2.03,20,610952,0.15
Tunisia,12415138,0.54,80,155360,0.15
Haiti,12037506,1.1,437,27560,0.15
Belgium,11774642,0.14,389,30280,0.14
