name,stars,description
opendataloader-project / opendataloader-pdf,"1,394 stars today",opendataloader-project / opendataloader-pdf
langchain-ai / open-swe,955 stars today,langchain-ai / open-swe
obra / superpowers,"3,476 stars today",obra / superpowers
jarrodwatts / claude-hud,"1,851 stars today",jarrodwatts / claude-hud
unslothai / unsloth,"1,259 stars today",unslothai / unsloth
mobile-dev-inc / Maestro,468 stars today,mobile-dev-inc / Maestro
newton-physics / newton,345 stars today,newton-physics / newton
louis-e / arnis,918 stars today,louis-e / arnis
FujiwaraChoki / MoneyPrinterV2,257 stars today,FujiwaraChoki / MoneyPrinterV2
gsd-build / get-shit-done,"1,414 stars today",gsd-build / get-shit-done
shareAI-lab / learn-claude-code,"1,458 stars today",shareAI-lab / learn-claude-code
