name,stars,description
opendataloader-project / opendataloader-pdf,"5,392","1,394 stars today"
langchain-ai / open-swe,"6,954",955 stars today
obra / superpowers,"98,906","3,476 stars today"
jarrodwatts / claude-hud,"8,414","1,851 stars today"
unslothai / unsloth,"56,616","1,259 stars today"
mobile-dev-inc / Maestro,"12,374",468 stars today
newton-physics / newton,"3,191",345 stars today
louis-e / arnis,"10,611",918 stars today
FujiwaraChoki / MoneyPrinterV2,"15,972",257 stars today
gsd-build / get-shit-done,"35,918","1,414 stars today"
shareAI-lab / learn-claude-code,"33,513","1,458 stars today"
