property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"3 BHK Flat for Sale in Hebbal, Bangalore",3 BHK,2500,,,Hebbal,Bangalore,Sale,Under Construction,https://www.magicbricks.com/project-by-embassy-hebbal-bangalore-pdpid-4d4235343434313333
"2 BHK Flat for Sale in Hoskote, Bangalore",2 BHK,1213,,,Hoskote,Bangalore,Sale,Under Construction,https://www.magicbricks.com/project-by-sobha-hoskote-bangalore-pdpid-4d4235343435353939
"3 BHK Flat for Sale in Hebbal, Bangalore",3 BHK,1117,,,Hebbal,Bangalore,Sale,,https://www.magicbricks.com/l&t-raintree-boulevard-hebbal-bangalore-pdpid-4d4235303836313833
"3 BHK Flat for Sale in Yelahanka, Bangalore",3 BHK,2069,,,Yelahanka,Bangalore,Sale,Under Construction,https://www.magicbricks.com/vajram-vivera-yelahanka-bangalore-pdpid-4d4235343239303735
"3 BHK Flat for Sale in Yelahanka, Bangalore",3 BHK,2481,,,Yelahanka,Bangalore,Sale,Under Construction,https://www.magicbricks.com/brigade-insignia-yelahanka-bangalore-pdpid-4d4235343231333037
"3 BHK Flat for Sale in Hoskote, Bangalore",3 BHK,1803,,,Hoskote,Bangalore,Sale,Under Construction,https://www.magicbricks.com/godrej-parkshire-hoskote-bangalore-pdpid-4d4235343337383731
"2 BHK Flat for Sale in Whitefield, Bangalore",2 BHK,1200,,,Whitefield,Bangalore,Sale,Under Construction,https://www.magicbricks.com/sbr-one-residence-whitefield-bangalore-pdpid-4d4235343235363637
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",3 BHK,1917,,,Sarjapur Road,Bangalore,Sale,Under Construction,https://www.magicbricks.com/nambiar-district-25-sarjapur-road-bangalore-pdpid-4d4235343236323331
"3 BHK Flat for Sale in Pulikeshi Nagar, Bangalore",3 BHK,3096,,,Pulikeshi Nagar,Bangalore,Sale,,https://www.magicbricks.com/hm-grandeur-frazer-town-bangalore-pdpid-4d4235303037323736
3 BHK Villa for Sale in Sarjapur Road Bangalore,3 BHK,3309,,,,Bangalore,Sale,,https://www.magicbricks.com/ncc-urban-green-province-sarjapur-road-bangalore-pdpid-4d4235303635363537
"3 BHK Flat for Sale in Electronic City, Bangalore",3 BHK,2300,,,Electronic City,Bangalore,Sale,Under Construction,https://www.magicbricks.com/purva-silversky-electronic-city-bangalore-pdpid-4d4235343431343831
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",3 BHK,1944,,,Sarjapur Road,Bangalore,Sale,Under Construction,https://www.magicbricks.com/amberstone-ventara-residences-sarjapur-road-bangalore-pdpid-4d4235343237363139
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",3 BHK,1680,,,Sarjapur Road,Bangalore,Sale,Under Construction,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235
"3 BHK Flat for Sale in Electronic City, Bangalore",3 BHK,1550,,,Electronic City,Bangalore,Sale,,https://www.magicbricks.com/pragathi-amber-electronic-city-bangalore-pdpid-4d4235313131303231
"3 BHK Flat for Sale in Bagaluru, Bangalore",3 BHK,2860,,,Bagaluru,Bangalore,Sale,Under Construction,https://www.magicbricks.com/kumar-plumeria-bagaluru-bangalore-pdpid-4d4235343236383733
