title,points,link
Astral to Join OpenAI,770 points,https://astral.sh/blog/openai
ibraheemdev,770 points,https://news.ycombinator.com/user?id=ibraheemdev
rohan_joshi,84 points,https://news.ycombinator.com/user?id=rohan_joshi
defrost,116 points,https://news.ycombinator.com/user?id=defrost
speckx,161 points,https://news.ycombinator.com/user?id=speckx
wweissbluth,10 points,https://news.ycombinator.com/user?id=wweissbluth
ChrisArchitect,22 points,https://news.ycombinator.com/user?id=ChrisArchitect
statements,33 points,https://news.ycombinator.com/user?id=statements
nomemory,53 points,https://news.ycombinator.com/user?id=nomemory
adamamyl,166 points,https://news.ycombinator.com/user?id=adamamyl
Betelbuddy,42 points,https://news.ycombinator.com/user?id=Betelbuddy
surprisetalk,54 points,https://news.ycombinator.com/user?id=surprisetalk
bzurak,21 points,https://news.ycombinator.com/user?id=bzurak
nu11r0ut3,45 points,https://news.ycombinator.com/user?id=nu11r0ut3
antonymoose,876 points,https://news.ycombinator.com/user?id=antonymoose
mosura,26 points,https://news.ycombinator.com/user?id=mosura
Visweshyc,8 points,https://news.ycombinator.com/user?id=Visweshyc
tananaev,32 points,https://news.ycombinator.com/user?id=tananaev
hopechong,12 points,https://news.ycombinator.com/user?id=hopechong
shmublu,81 points,https://news.ycombinator.com/user?id=shmublu
surprisetalk,283 points,https://news.ycombinator.com/user?id=surprisetalk
pseudolus,367 points,https://news.ycombinator.com/user?id=pseudolus
hn_acker,14 points,https://news.ycombinator.com/user?id=hn_acker
mmastrac,448 points,https://news.ycombinator.com/user?id=mmastrac
aebtebeten,5 points,https://news.ycombinator.com/user?id=aebtebeten
baruchel,90 points,https://news.ycombinator.com/user?id=baruchel
FabianCarbonara,7 points,https://news.ycombinator.com/user?id=FabianCarbonara
matt_d,16 points,https://news.ycombinator.com/user?id=matt_d
ibobev,95 points,https://news.ycombinator.com/user?id=ibobev
TMWNN,162 points,https://news.ycombinator.com/user?id=TMWNN
