property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"3 BHK Flat for Sale in Hebbal, Bangalore",Project by Embassy,Buy 3 BHK Flat for Sale in Hebbal Bangalore,₹,"₹18,000 per sqft",RERA Approval Expected Soon,Flexible Payment Plans Pre-Launch Discounts More Inventory Choices,Flexible Payment Plans,,https://www.magicbricks.com/project-by-embassy-hebbal-bangalore-pdpid-4d4235343434313333
"3 BHK Flat for Sale in Stage 2nd Banashankari, Bangalore",Vaishnavi At One Krishna Brindavan,Buy 3 BHK Flat for Sale in Stage 2nd Banashankari Bangalore,₹,"₹16,609 per sqft",Share Feedback,top-right,ico-share-feedback,,https://www.magicbricks.com/vaishnavi-at-one-krishna-brindavan-banashankari-stage-2-bangalore-pdpid-4d4235343338383431
"2 BHK Flat for Sale in Hoskote, Bangalore",Project by Sobha,Buy 2 BHK Flat for Sale in Hoskote Bangalore,₹,"₹14,839 per sqft",RERA Approval Expected Soon,Flexible Payment Plans Pre-Launch Discounts More Inventory Choices,Flexible Payment Plans,,https://www.magicbricks.com/project-by-sobha-hoskote-bangalore-pdpid-4d4235343435353939
"3 BHK Flat for Sale in Hebbal, Bangalore",L&T Raintree Boulevard,Buy 3 BHK Flat for Sale in Hebbal Bangalore,₹,"₹24,354 per sqft",Posted: Yesterday,"3 BHK Flat for Sale in Hebbal, Bangalore",ico-share,,https://www.magicbricks.com/l&t-raintree-boulevard-hebbal-bangalore-pdpid-4d4235303836313833
"3 BHK Flat for Sale in Yelahanka, Bangalore",Vajram Vivera,Buy 3 BHK Flat for Sale in Yelahanka Bangalore,₹,"₹13,700 per sqft",Posted: Yesterday,"3 BHK Flat for Sale in Yelahanka, Bangalore",ico-share,,https://www.magicbricks.com/vajram-vivera-yelahanka-bangalore-pdpid-4d4235343239303735
"3 BHK Flat for Sale in Yelahanka, Bangalore",Brigade Insignia,Buy 3 BHK Flat for Sale in Yelahanka Bangalore,₹,"₹17,291 per sqft","Posted: Mar 22, '26","3 BHK Flat for Sale in Yelahanka, Bangalore",ico-share,,https://www.magicbricks.com/brigade-insignia-yelahanka-bangalore-pdpid-4d4235343231333037
"3 BHK Flat for Sale in Hoskote, Bangalore",Godrej Parkshire,Buy 3 BHK Flat for Sale in Hoskote Bangalore,₹,"₹10,857 per sqft","Posted: Mar 19, '26",NEWLY LAUNCHED,"3 BHK Flat for Sale in Hoskote, Bangalore",,https://www.magicbricks.com/godrej-parkshire-hoskote-bangalore-pdpid-4d4235343337383731
"2 BHK Flat for Sale in Whitefield, Bangalore",SBR One Residence,Buy 2 BHK Flat for Sale in Whitefield Bangalore,₹,"₹14,046 per sqft","Posted: Mar 21, '26","2 BHK Flat for Sale in Whitefield, Bangalore",ico-share,,https://www.magicbricks.com/sbr-one-residence-whitefield-bangalore-pdpid-4d4235343235363637
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",Nambiar District 25,Buy 3 BHK Flat for Sale in Sarjapur Road Bangalore,₹,"₹12,302 per sqft","Posted: Mar 23, '26","3 BHK Flat for Sale in Sarjapur Road, Bangalore",ico-share,,https://www.magicbricks.com/nambiar-district-25-sarjapur-road-bangalore-pdpid-4d4235343236323331
"3 BHK Flat for Sale in Pulikeshi Nagar, Bangalore",HM Grandeur,Buy 3 BHK Flat for Sale in Pulikeshi Nagar Bangalore,₹,"₹24,466 per sqft","Posted: Mar 23, '26","3 BHK Flat for Sale in Pulikeshi Nagar, Bangalore",ico-share,,https://www.magicbricks.com/hm-grandeur-frazer-town-bangalore-pdpid-4d4235303037323736
