job_title,company_name,experience,salary,location,url
,,Jobs,IT jobs,Sales jobs,https://www.naukri.com
,,IT jobs,,,https://www.naukri.com/it-jobs?src=gnbjobs_homepage_srch
,,Sales jobs,,,https://www.naukri.com/sales-jobs?src=gnbjobs_homepage_srch
,,Marketing jobs,,,https://www.naukri.com/marketing-jobs?src=gnbjobs_homepage_srch
,,Data Science jobs,,,https://www.naukri.com/data-science-jobs?src=gnbjobs_homepage_srch
,,HR jobs,,,https://www.naukri.com/hr-jobs?src=gnbjobs_homepage_srch
,,Engineering jobs,,,https://www.naukri.com/engineering-jobs?src=gnbjobs_homepage_srch
,,Fresher jobs,,,https://www.naukri.com/fresher-jobs?src=gnbjobs_homepage_srch
,,MNC jobs,,,https://www.naukri.com/mnc-jobs?src=gnbjobs_homepage_srch
,,Remote jobs,,,https://www.naukri.com/remote-jobs?src=gnbjobs_homepage_srch
,,Work from home jobs,,,https://www.naukri.com/work-from-home-jobs?src=gnbjobs_homepage_srch
,,Walk-in jobs,,,https://www.naukri.com/walkin-jobs?src=gnbjobs_homepage_srch
,,Part-time jobs,,,https://www.naukri.com/part-time-jobs?src=gnbjobs_homepage_srch
,,Jobs in Delhi,,,https://www.naukri.com/jobs-in-delhi-ncr
,,Jobs in Mumbai,,,https://www.naukri.com/jobs-in-mumbai
,,Jobs in Bangalore,,,https://www.naukri.com/jobs-in-bangalore
,,Jobs in Hyderabad,,,https://www.naukri.com/jobs-in-hyderabad-secunderabad
,,Jobs in Chennai,,,https://www.naukri.com/jobs-in-chennai
,,Jobs in Pune,,,https://www.naukri.com/jobs-in-pune
,,Companies,Unicorn,MNC,https://www.naukri.com/companies-hiring-in-india?src=gnbCompanies_homepage_srch
,,Unicorn,,,https://www.naukri.com/unicorn-companies-in-india-cat102?title=Unicorns%20actively%20hiring&src=gnbCompanies_homepage_srch
,,MNC,,,https://www.naukri.com/mnc-companies-in-india-cat101?title=MNCs%20actively%20hiring&src=gnbCompanies_homepage_srch
,,Startup,,,https://www.naukri.com/startup-companies-in-india-cat103?title=Startups%20actively%20hiring&src=gnbCompanies_homepage_srch
,,Product based,,,https://www.naukri.com/product-companies-in-india-cat106?title=Product%20companies%20actively%20hiring&src=gnbCompanies_homepage_srch
,,Internet,,,https://www.naukri.com/internet-companies-in-india-cat105?title=Internet%20companies%20actively%20hiring&src=gnbCompanies_homepage_srch
,,Top companies,,,https://www.naukri.com/companies-hiring-in-india?src=gnbCompanies_homepage_srch
,,IT companies,,,https://www.naukri.com/it-companies-in-india-cat116?src=gnbCompanies_homepage_srch&title=IT%20Companies%20Hiring
,,Fintech companies,,,https://www.naukri.com/fintech-and-payments-companies-in-india-cat108?title=Fintech%20%26%20Payments%20companies%20actively%20hiring&src=gnbCompanies_homepage_srch
,,Sponsored companies,,,https://www.naukri.com/allcompanies?searchType=standardLogo&title=Sponsored+companies&branding=%257B%2522pagename%2522%253A%2522ni-desktop-standard-viewAll%2522%257D&pageNo=1&qcount=47&src=gnbCompanies_homepage_srch
,,Featured companies,,,https://www.naukri.com/allcompanies?searchType=premiumLogo&title=Featured+companies+actively+hiring&branding=%257B%2522pagename%2522%253A%2522ni-desktop-premium-viewAll%2522%257D&pageNo=1&qcount=47&src=gnbCompanies_homepage_srch
,,Interview questions,,,https://www.ambitionbox.com/interviews?utm_source=naukri&utm_medium=desktop&utm_campaign=gnb
,,Company salaries,,,https://www.ambitionbox.com/salaries?utm_source=naukri&utm_medium=desktop&utm_campaign=gnb
,,Company reviews,,,https://www.ambitionbox.com/reviews?utm_source=naukri&utm_medium=desktop&utm_campaign=gnb
,,Salary Calculator,,,https://www.ambitionbox.com/salaries/take-home-salary-calculator?utm_campaign=gnb&utm_source=naukri&utm_medium=desktop
,,Services,Text resume,Visual resume,https://resume.naukri.com/?fftid=100001
,,Text resume,,,https://resume.naukri.com/resume-writing-services?fftid=101001
,,Visual resume,,,https://resume.naukri.com/visual-resume-writing-services?fftid=101002
,,Resume critique,,,https://resume.naukri.com/resume-critique?fftid=101006
,,Jobs4u,,,https://resume.naukri.com/job-alerts-on-mobile-mail?fftid=101011#jobmail
,,Priority applicant,,,https://resume.naukri.com/priority-job-application?fftid=101019
,,Contact us,,,https://resume.naukri.com/contact-us?fftid=101015
,,Resume display,,,https://resume.naukri.com/resume-display?fftid=101009
,,Basic & premium plans,,,https://resume.naukri.com/subscription-product?fftid=101025
,,Resume maker,,,https://www.naukri.com/resume-maker?utmTerm=ResumePro_Gnb&utmContent=gnbServices
,,Resume quality score,,,https://resume.naukri.com/resume-quality-score?fftid=101003
,,Resume samples,,,https://resume.naukri.com/resume-samples?fftid=101004
,,Job letter samples,,,https://resume.naukri.com/job-letter-format
,,Buy online,Naukri Talent Cloud,Employer Login,https://www.naukri.com/recruit/buy-resume-database-access-packages
,,Buy online,,,https://www.naukri.com/recruit/buy-resume-database-access-packages
,,Naukri Talent Cloud,,,https://www.naukritalentcloud.com?utmSource=jobseekerGNB
,,Employer Login,,,https://www.naukri.com/recruit/login
