country,population,density,land_area,world_share_percentage
India,"1,476,625,576",497,"2,973,190",17.79%
China,"1,412,914,089",150,"9,388,211",17.02%
United States,"349,035,494",38,"9,147,420",4.20%
Indonesia,"287,886,782",159,"1,811,570",3.47%
Pakistan,"259,299,791",336,"770,880",3.12%
Nigeria,"242,431,832",266,"910,770",2.92%
Brazil,"213,562,666",26,"8,358,140",2.57%
Bangladesh,"177,818,044","1,366","130,170",2.14%
Russia,"143,394,458",9,"16,376,870",1.73%
Ethiopia,"138,902,185",139,"1,000,000",1.67%
Mexico,"132,997,658",68,"1,943,950",1.60%
Japan,"122,427,731",336,"364,555",1.47%
Egypt,"120,101,175",121,"995,450",1.45%
Philippines,"117,724,471",395,"298,170",1.42%
DR Congo,"116,452,162",51,"2,267,050",1.40%
Vietnam,"102,177,431",330,"310,070",1.23%
Iran,"93,168,497",57,"1,628,550",1.12%
Turkey,"87,926,082",114,"769,630",1.06%
Germany,"83,644,258",240,"348,560",1.01%
Tanzania,"72,563,780",82,"885,800",0.87%
Thailand,"71,559,614",140,"510,890",0.86%
United Kingdom,"69,931,528",289,"241,930",0.84%
France,"66,746,401",122,"547,557",0.80%
South Africa,"65,453,084",54,"1,213,090",0.79%
Italy,"58,926,166",200,"294,140",0.71%
Kenya,"58,636,412",103,"569,140",0.71%
Myanmar,"55,184,819",84,"653,290",0.66%
Colombia,"53,936,226",49,"1,109,500",0.65%
Sudan,"53,282,719",30,"1,765,048",0.64%
Uganda,"52,761,469",264,"199,810",0.64%
South Korea,"51,600,388",531,"97,230",0.62%
Algeria,"48,028,334",20,"2,381,740",0.58%
Iraq,"48,007,437",111,"434,320",0.58%
Spain,"47,850,793",96,"498,800",0.58%
Argentina,"46,003,734",17,"2,736,690",0.55%
Afghanistan,"45,047,069",69,"652,860",0.54%
Yemen,"42,961,653",81,"527,970",0.52%
Canada,"40,467,728",4,"9,093,510",0.49%
Angola,"40,215,179",32,"1,246,700",0.48%
Ukraine,"39,535,849",68,"579,320",0.48%
Morocco,"38,762,441",87,"446,300",0.47%
Poland,"37,843,188",124,"306,230",0.46%
Uzbekistan,"37,724,223",89,"425,400",0.45%
Mozambique,"36,639,851",47,"786,380",0.44%
Malaysia,"36,385,115",111,"328,550",0.44%
Ghana,"35,697,557",157,"227,540",0.43%
Saudi Arabia,"35,165,787",16,"2,149,690",0.42%
Peru,"34,922,148",27,"1,280,000",0.42%
Madagascar,"33,522,052",58,"581,795",0.40%
Côte d'Ivoire,"33,494,346",105,"318,000",0.40%
Cameroon,"30,640,817",65,"472,710",0.37%
Nepal,"29,629,410",207,"143,350",0.36%
Niger,"28,814,878",23,"1,266,700",0.35%
Venezuela,"28,633,711",32,"882,050",0.34%
Australia,"27,227,096",4,"7,682,300",0.33%
North Korea,"26,633,691",221,"120,410",0.32%
Syria,"26,472,497",144,"183,630",0.32%
Mali,"25,932,275",21,"1,220,190",0.31%
Burkina Faso,"24,601,700",90,"273,600",0.30%
Sri Lanka,"23,348,315",372,"62,710",0.28%
Taiwan,"23,011,292",650,"35,410",0.28%
Malawi,"22,785,535",242,"94,280",0.27%
Zambia,"22,521,915",30,"743,390",0.27%
Chad,"21,560,380",17,"1,259,200",0.26%
Kazakhstan,"21,083,626",8,"2,699,700",0.25%
Somalia,"20,305,907",32,"627,340",0.24%
Chile,"19,945,850",27,"743,532",0.24%
Senegal,"19,366,548",101,"192,530",0.23%
Guatemala,"18,967,978",177,"107,160",0.23%
Romania,"18,800,605",82,"230,170",0.23%
Netherlands,"18,448,775",547,"33,720",0.22%
Ecuador,"18,444,506",74,"248,360",0.22%
Cambodia,"18,051,219",102,"176,520",0.22%
Zimbabwe,"17,273,580",45,"386,850",0.21%
Guinea,"15,441,993",63,"245,720",0.19%
Benin,"15,170,419",135,"112,760",0.18%
Rwanda,"14,889,693",604,"24,670",0.18%
Burundi,"14,729,157",574,"25,680",0.18%
Bolivia,"12,749,291",12,"1,083,300",0.15%
South Sudan,"12,436,037",20,"610,952",0.15%
Tunisia,"12,415,138",80,"155,360",0.15%
Haiti,"12,037,506",437,"27,560",0.15%
Belgium,"11,774,642",389,"30,280",0.14%
Dominican Republic,"11,609,500",240,"48,320",0.14%
Jordan,"11,589,532",131,"88,780",0.14%
United Arab Emirates,"11,574,682",138,"83,600",0.14%
Honduras,"11,184,760",100,"111,890",0.13%
Tajikistan,"10,978,599",78,"139,960",0.13%
Papua New Guinea,"10,947,848",24,"452,860",0.13%
Cuba,"10,892,659",102,"106,440",0.13%
Sweden,"10,701,047",26,"410,340",0.13%
Czech Republic (Czechia),"10,527,781",136,"77,240",0.13%
Azerbaijan,"10,454,855",126,"82,658",0.13%
Portugal,"10,395,362",113,"91,590",0.13%
Togo,"9,930,918",183,"54,390",0.12%
Greece,"9,897,115",77,"128,900",0.12%
Israel,"9,647,689",446,"21,640",0.12%
Hungary,"9,585,818",106,"90,530",0.12%
Austria,"9,107,266",111,"82,409",0.11%
Switzerland,"9,007,798",228,"39,516",0.11%
Sierra Leone,"8,996,745",125,"72,180",0.11%
Belarus,"8,937,018",44,"202,910",0.11%
Laos,"7,974,017",35,"230,800",0.096%
Turkmenistan,"7,736,632",16,"469,930",0.093%
Libya,"7,539,851",4,"1,759,540",0.091%
Kyrgyzstan,"7,400,465",39,"191,800",0.089%
Hong Kong,"7,378,602","7,027","1,050",0.089%
Nicaragua,"7,097,329",59,"120,340",0.086%
Paraguay,"7,095,279",18,"397,300",0.085%
Bulgaria,"6,667,659",61,"108,560",0.080%
Serbia,"6,641,964",76,"87,460",0.080%
Congo,"6,637,785",19,"341,500",0.080%
El Salvador,"6,391,253",308,"20,720",0.077%
Denmark,"6,023,520",142,"42,430",0.073%
Singapore,"5,905,748","8,437",700,0.071%
Lebanon,"5,897,467",576,"10,230",0.071%
Liberia,"5,853,949",61,"96,320",0.071%
Central African Republic,"5,698,984",9,"622,980",0.069%
State of Palestine,"5,692,790",946,"6,020",0.069%
Oman,"5,671,458",18,"309,500",0.068%
Norway,"5,652,989",15,"365,268",0.068%
Finland,"5,621,739",18,"303,890",0.068%
Mauritania,"5,461,319",5,"1,030,700",0.066%
Slovakia,"5,451,342",113,"48,088",0.066%
Ireland,"5,356,950",78,"68,890",0.065%
New Zealand,"5,287,479",20,"263,310",0.064%
Costa Rica,"5,174,789",101,"51,060",0.062%
Kuwait,"5,102,773",286,"17,820",0.061%
Panama,"4,625,718",62,"74,340",0.056%
Croatia,"3,822,345",68,"55,960",0.046%
Georgia,"3,804,642",55,"69,490",0.046%
Eritrea,"3,682,669",36,"101,000",0.044%
Mongolia,"3,556,798",2,"1,553,560",0.043%
Uruguay,"3,382,537",19,"175,020",0.041%
Puerto Rico,"3,222,688",363,"8,870",0.039%
Qatar,"3,173,559",273,"11,610",0.038%
Namibia,"3,153,246",4,"823,290",0.038%
Bosnia and Herzegovina,"3,114,242",61,"51,000",0.038%
Moldova,"2,961,253",90,"32,850",0.036%
Armenia,"2,930,915",103,"28,470",0.035%
Gambia,"2,884,079",285,"10,120",0.035%
Jamaica,"2,833,403",262,"10,830",0.034%
Lithuania,"2,797,338",45,"62,674",0.034%
Albania,"2,751,025",100,"27,400",0.033%
Gabon,"2,647,399",10,"257,670",0.032%
Botswana,"2,603,388",5,"566,730",0.031%
Lesotho,"2,389,336",79,"30,360",0.029%
Guinea-Bissau,"2,297,808",82,"28,120",0.028%
Slovenia,"2,114,573",105,"20,140",0.025%
Equatorial Guinea,"1,984,468",71,"28,050",0.024%
Latvia,"1,835,935",30,"62,200",0.022%
North Macedonia,"1,804,063",72,"25,220",0.022%
Bahrain,"1,675,572","2,205",760,0.020%
Trinidad and Tobago,"1,513,268",295,"5,130",0.018%
Timor-Leste,"1,436,923",97,"14,870",0.017%
Cyprus,"1,382,334",150,"9,240",0.017%
Estonia,"1,331,062",31,"42,390",0.016%
Eswatini,"1,269,859",74,"17,200",0.015%
Mauritius,"1,265,059",623,"2,030",0.015%
Djibouti,"1,199,459",52,"23,180",0.014%
Fiji,"937,282",51,"18,270",0.011%
Comoros,"899,010",483,"1,861",0.011%
Réunion,"886,298",355,"2,500",0.011%
Solomon Islands,"858,288",31,"27,990",0.010%
Guyana,"840,890",4,"196,850",0.010%
Bhutan,"802,214",21,"38,117",0.0097%
Macao,"723,188","24,106",30,0.0087%
Luxembourg,"687,448",265,"2,590",0.0083%
Suriname,"645,256",4,"156,000",0.0078%
Montenegro,"626,233",47,"13,450",0.0075%
Western Sahara,"610,813",2,"266,000",0.0074%
Malta,"549,011","1,716",320,0.0066%
Maldives,"531,517","1,772",300,0.0064%
Cabo Verde,"529,630",131,"4,030",0.0064%
Brunei,"469,775",89,"5,270",0.0057%
Belize,"428,644",19,"22,810",0.0052%
Bahamas,"404,628",40,"10,010",0.0049%
Iceland,"402,329",4,"100,250",0.0048%
Guadeloupe,"372,453",220,"1,690",0.0045%
Mayotte,"347,536",927,375,0.0042%
Vanuatu,"342,564",28,"12,190",0.0041%
Martinique,"337,711",319,"1,060",0.0041%
French Guiana,"318,872",4,"82,200",0.0038%
New Caledonia,"297,892",16,"18,280",0.0036%
French Polynesia,"283,076",77,"3,660",0.0034%
Barbados,"282,724",657,430,0.0034%
Sao Tome & Principe,"244,994",255,960,0.0030%
Samoa,"220,528",78,"2,830",0.0027%
Curaçao,"185,440",418,444,0.0022%
Saint Lucia,"180,488",296,610,0.0022%
Guam,"170,185",315,540,0.0021%
Kiribati,"138,445",171,810,0.0017%
Seychelles,"134,959",293,460,0.0016%
Grenada,"117,362",345,340,0.0014%
Micronesia,"114,183",163,700,0.0014%
Aruba,"108,164",601,180,0.0013%
Tonga,"103,291",143,720,0.0012%
St. Vincent & Grenadines,"99,245",254,390,0.0012%
Antigua and Barbuda,"94,626",215,440,0.0011%
Isle of Man,"84,055",147,570,0.0010%
Andorra,"83,753",178,470,0.0010%
U.S. Virgin Islands,"83,400",238,350,0.0010%
Cayman Islands,"77,196",322,240,0.00093%
Dominica,"65,511",87,750,0.00079%
Bermuda,"64,459","1,289",50,0.00078%
Faeroe Islands,"56,526",40,"1,396",0.00068%
Greenland,"55,629",0,"410,450",0.00067%
Turks and Caicos,"47,148",50,950,0.00057%
Saint Kitts & Nevis,"46,992",181,260,0.00057%
American Samoa,"45,319",227,200,0.00055%
Sint Maarten,"44,447","1,307",34,0.00054%
Northern Mariana Islands,"42,914",93,460,0.00052%
Gibraltar,"40,867","4,087",10,0.00049%
Liechtenstein,"40,368",252,160,0.00049%
British Virgin Islands,"39,936",266,150,0.00048%
Monaco,"38,087","25,562",1,0.00046%
Marshall Islands,"35,075",195,180,0.00042%
San Marino,"33,605",560,60,0.00040%
Caribbean Netherlands,"31,913",97,328,0.00038%
Saint Martin,"23,898",451,53,0.00029%
Palau,"17,614",38,460,0.00021%
Anguilla,"14,817",165,90,0.00018%
Cook Islands,"12,826",53,240,0.00015%
Nauru,"12,101",605,20,0.00015%
Saint Barthelemy,"11,550",550,21,0.00014%
Wallis & Futuna,"11,113",79,140,0.00013%
Tuvalu,"9,362",312,30,0.00011%
Saint Pierre & Miquelon,"5,513",24,230,0.000066%
Saint Helena,"5,147",13,390,0.000062%
Montserrat,"4,328",43,100,0.000052%
Falkland Islands,"3,465",0,"12,170",0.000042%
Tokelau,"2,691",269,10,0.000032%
Niue,"1,822",7,260,0.000022%
Holy See,506,"1,265",0,0.0000061%
