rank,title,url,points,comments
1,Cockpit is a web-based graphical interface for servers,https://github.com/cockpit-project/cockpit,127,3
2,Astral to Join OpenAI,https://astral.sh/blog/openai,1166,10
3,Google details new 24-hour process to sideload unverified Android apps,https://arstechnica.com/gadgets/2026/03/google-details-new-24-hour-process-to-sideload-unverified-android-apps/,410,6
4,How the Turner twins are mythbusting modern technical apparel,https://www.carryology.com/insights/how-the-turner-twins-are-mythbusting-modern-gear/,79,3
5,Return of the Obra Dinn: spherical mapped dithering for a 1bpp first-person game,https://forums.tigsource.com/index.php?topic=40832.msg1363742#msg1363742,212,6
6,Show HN: Three new Kitten TTS models – smallest less than 25MB,https://github.com/KittenML/KittenTTS,287,7
7,EsoLang-Bench: Evaluating Genuine Reasoning in LLMs via Esoteric Languages,https://esolang-bench.vercel.app/,48,2
8,Be intentional about how AI changes your codebase,https://aicode.swerdlow.dev/,41,2
9,Noq: n0's new QUIC implementation in Rust,https://www.iroh.computer/blog/noq-announcement,132,5
10,Waymo Safety Impact,https://waymo.com/safety/impact/,173,3
11,Clockwise acquired by Salesforce and shutting down next week,https://www.getclockwise.com/,50,3
12,Bombarding gamblers with offers greatly increases betting and gambling harm,https://www.bristol.ac.uk/news/2026/march/bombarding-gamblers-with-offers-greatly-increases-betting-and-gambling-harm.html,5,40
13,From Oscilloscope to Wireshark: A UDP Story (2022),https://www.mattkeeter.com/blog/2022-08-11-udp/,66,4
14,NanoGPT Slowrun: 10x Data Efficiency with Infinite Compute,https://qlabs.sh/10x,82,4
15,4Chan mocks £520k fine for UK online safety breaches,https://www.bbc.com/news/articles/c624330lg1ko,223,8
16,“Your frustration is the product”,https://daringfireball.net/2026/03/your_frustration_is_the_product,387,12
17,Launch HN: Voltair (YC W26) – Drone and charging network for power utilities,https://news.ycombinator.com/item?id=47442452,43,6
18,Scaling Karpathy's Autoresearch: What Happens When the Agent Gets a GPU Cluster,https://blog.skypilot.co/scaling-autoresearch/,109,6
19,OpenBSD: PF queues break the 4 Gbps barrier,https://undeadly.org/cgi?action=article;sid=20260319125859,175,9
20,Juggalo makeup blocks facial recognition technology (2019),https://consequence.net/2019/07/juggalo-makeup-facial-recognition/,216,10
21,My Random Forest Was Mostly Learning Time-to-Expiry Noise,https://illya.sh/threads/out-of-sample-permutation-feature-importance-for-random,6,1
22,Minecraft Source Code Is Interesting,https://www.karanjanthe.me/posts/minecraft-source/,7,1
23,An update on Steam / GOG changes for OpenTTD,https://www.openttd.org/news/2026/03/19/steam-changes-update,248,6
24,Android developer verification: Balancing openness and choice with safety,https://android-developers.googleblog.com/2026/03/android-developer-verification.html,19,3
25,Tesla: Failure of the FSD's degradation detection system [pdf],https://static.nhtsa.gov/odi/inv/2026/INOA-EA26002-10023.pdf,143,3
26,The Need for an Independent AI Grid,https://amppublic.com/,12,2
27,"Xiaomi launches next-gen SU7 with 902 km range and Lidar, still undercuts Tesla",https://electrek.co/2026/03/19/xiaomi-launches-next-gen-su7-902-km-range-undercuts-tesla/,55,2
28,The Shape of Inequalities,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/,88,9
29,macOS 26 breaks custom DNS settings including .internal,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a,302,8
30,Connecticut and the 1 Kilometer Effect,https://alearningaday.blog/2026/03/19/connecticut-and-the-1-kilometer-effect/,36,5
