country,population_2026,yearly_change,net_change,density
India,"1,476,625,576",0.87%,"12,760,051",497
China,"1,412,914,089",−0.22%,"−3,182,005",150
United States,"349,035,494",0.51%,"1,759,687",38
Indonesia,"287,886,782",0.76%,"2,165,546",159
Pakistan,"259,299,791",1.6%,"4,080,237",336
Nigeria,"242,431,832",2.06%,"4,904,050",266
Brazil,"213,562,666",0.35%,"750,261",26
Bangladesh,"177,818,044",1.21%,"2,131,145","1,366"
Russia,"143,394,458",−0.42%,"−602,935",9
Ethiopia,"138,902,185",2.53%,"3,430,134",139
Mexico,"132,997,658",0.8%,"1,050,758",68
Japan,"122,427,731",−0.55%,"−675,748",336
Egypt,"120,101,175",1.47%,"1,735,180",121
Philippines,"117,724,471",0.8%,"937,509",395
DR Congo,"116,452,162",3.21%,"3,619,689",51
Vietnam,"102,177,431",0.57%,"578,904",330
Iran,"93,168,497",0.81%,"750,816",57
Turkey,"87,926,082",0.27%,"240,656",114
Germany,"83,644,258",−0.51%,"−430,817",240
Tanzania,"72,563,780",2.86%,"2,017,915",82
Thailand,"71,559,614",−0.08%,"−60,249",140
United Kingdom,"69,931,528",0.55%,"380,196",289
France,"66,746,401",0.14%,"95,597",122
South Africa,"65,453,084",1.09%,"705,765",54
Italy,"58,926,166",−0.37%,"−220,094",200
Kenya,"58,636,412",1.92%,"1,103,919",103
Myanmar,"55,184,819",0.61%,"334,171",84
Colombia,"53,936,226",0.96%,"510,591",49
Sudan,"53,282,719",3.14%,"1,620,572",30
Uganda,"52,761,469",2.68%,"1,376,575",264
South Korea,"51,600,388",−0.13%,"−66,641",531
Algeria,"48,028,334",1.25%,"593,022",20
Iraq,"48,007,437",2.1%,"986,663",111
Spain,"47,850,793",−0.08%,"−39,165",96
Argentina,"46,003,734",0.33%,"152,356",17
Afghanistan,"45,047,069",2.74%,"1,202,958",69
Yemen,"42,961,653",2.84%,"1,187,775",81
Canada,"40,467,728",0.85%,"341,005",4
Angola,"40,215,179",3.01%,"1,175,140",32
Ukraine,"39,535,849",1.43%,"555,473",68
Morocco,"38,762,441",0.86%,"331,671",87
Poland,"37,843,188",−0.78%,"−297,722",124
Uzbekistan,"37,724,223",1.81%,"670,795",89
Mozambique,"36,639,851",2.83%,"1,008,198",47
Malaysia,"36,385,115",1.13%,"407,277",111
Ghana,"35,697,557",1.81%,"633,285",157
Saudi Arabia,"35,165,787",1.73%,"599,459",16
Peru,"34,922,148",1%,"345,483",27
Madagascar,"33,522,052",2.39%,"781,374",58
Côte d'Ivoire,"33,494,346",2.39%,"782,799",105
Cameroon,"30,640,817",2.55%,"761,480",65
Nepal,"29,629,410",0.04%,"11,292",207
Niger,"28,814,878",3.21%,"897,047",23
Venezuela,"28,633,711",0.41%,"116,815",32
Australia,"27,227,096",0.94%,"253,070",4
North Korea,"26,633,691",0.24%,"62,655",221
Syria,"26,472,497",3.33%,"852,070",144
Mali,"25,932,275",2.91%,"733,454",21
Burkina Faso,"24,601,700",2.19%,"527,120",90
Sri Lanka,"23,348,315",0.51%,"118,845",372
Taiwan,"23,011,292",−0.44%,"−101,501",650
Malawi,"22,785,535",2.56%,"569,415",242
Zambia,"22,521,915",2.77%,"608,041",30
