title,points,link
Hacker News,663 points | 33 points | 96 points | 139 points | 110 points | 35 points | 45 points | 795 points | 19 points | 67 points,https://news.ycombinator.com/news
Hacker News,,https://news.ycombinator.com/news
,663 points | 33 points | 96 points | 139 points | 110 points | 35 points | 45 points | 795 points | 19 points | 67 points,
Astral to Join OpenAI,663 points | 33 points | 96 points | 139 points | 110 points | 35 points | 45 points | 795 points | 19 points | 67 points,https://astral.sh/blog/openai
Astral to Join OpenAI,663 points,https://astral.sh/blog/openai
ibraheemdev,663 points,https://news.ycombinator.com/user?id=ibraheemdev
,33 points,
Show HN: Three new Kitten TTS models – smallest less than 25MB,33 points,https://github.com/KittenML/KittenTTS
rohan_joshi,33 points,https://news.ycombinator.com/user?id=rohan_joshi
,96 points,
OpenBSD: PF queues break the 4 Gbps barrier,96 points,https://undeadly.org/cgi?action=article;sid=20260319125859
defrost,96 points,https://news.ycombinator.com/user?id=defrost
,139 points,
Juggalo Makeup Blocks Facial Recognition Technology (2019),139 points,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/
speckx,139 points,https://news.ycombinator.com/user?id=speckx
,110 points,
macOS 26 breaks custom DNS settings including .internal,110 points,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a
adamamyl,110 points,https://news.ycombinator.com/user?id=adamamyl
,35 points,
The Shape of Inequalities,35 points,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/
nomemory,35 points,https://news.ycombinator.com/user?id=nomemory
,45 points,
Consensus Board Game,45 points,https://matklad.github.io/2026/03/19/consensus-board-game.html
surprisetalk,45 points,https://news.ycombinator.com/user?id=surprisetalk
,795 points,
Afroman found not liable in defamation case,795 points,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/
antonymoose,795 points,https://news.ycombinator.com/user?id=antonymoose
,19 points,
Hyper-optimized reverse geocoding API,19 points,https://github.com/traccar/traccar-geocoder
tananaev,19 points,https://news.ycombinator.com/user?id=tananaev
,67 points,
Pretraining Language Models via Neural Cellular Automata,67 points,https://hanseungwook.github.io/blog/nca-pre-pre-training/
shmublu,67 points,https://news.ycombinator.com/user?id=shmublu
,3 points,
Launch HN: Canary (YC W26) – AI QA that understands your code,3 points,https://news.ycombinator.com/item?id=47441629
Visweshyc,3 points,https://news.ycombinator.com/user?id=Visweshyc
,273 points,
"Conway's Game of Life, in real life",273 points,https://lcamtuf.substack.com/p/conways-game-of-life-in-real-life
surprisetalk,273 points,https://news.ycombinator.com/user?id=surprisetalk
,18 points,
Ramtrack.eu – RAM Price Intelligence,18 points,https://ramtrack.eu
nu11r0ut3,18 points,https://news.ycombinator.com/user?id=nu11r0ut3
,319 points,
Afroman Wins Civil Trial over Use of Police Raid Footage in His Music Videos,319 points,https://www.nytimes.com/2026/03/19/us/afroman-trial-lemon-cake-verdict.html
pseudolus,319 points,https://news.ycombinator.com/user?id=pseudolus
,440 points,
Nvidia greenboost: transparently extend GPU VRAM using system RAM/NVMe,440 points,https://gitlab.com/IsolatedOctopi/nvidia_greenboost
mmastrac,440 points,https://news.ycombinator.com/user?id=mmastrac
,84 points,
"Eniac, the First General-Purpose Digital Computer, Turns 80",84 points,https://spectrum.ieee.org/eniac-80-ieee-milestone
baruchel,84 points,https://news.ycombinator.com/user?id=baruchel
,465 points,
