rank,title,year,rating
1,The Shawshank Redemption,19942h 22mR,9.3 (3.2M)RateMark as watched
2,The Godfather,19722h 55mR,9.2 (2.2M)RateMark as watched
3,The Dark Knight,20082h 32mPG-13,9.1 (3.1M)RateMark as watched
4,The Godfather Part II,19743h 22mR,9.0 (1.5M)RateMark as watched
5,12 Angry Men,19571h 36mApproved,9.0 (978K)RateMark as watched
6,The Lord of the Rings: The Return of the King,20033h 21mPG-13,9.0 (2.2M)RateMark as watched
7,Schindler's List,19933h 15mR,9.0 (1.6M)RateMark as watched
8,The Lord of the Rings: The Fellowship of the Ring,20012h 58mPG-13,8.9 (2.2M)RateMark as watched
9,Pulp Fiction,19942h 34mR,8.8 (2.4M)RateMark as watched
10,"The Good, the Bad and the Ugly",19662h 58mR,8.8 (887K)RateMark as watched
11,The Lord of the Rings: The Two Towers,20022h 59mPG-13,8.8 (1.9M)RateMark as watched
12,Forrest Gump,19942h 22mPG-13,8.8 (2.5M)RateMark as watched
13,Fight Club,19992h 19mR,8.8 (2.6M)RateMark as watched
14,Inception,20102h 28mPG-13,8.8 (2.8M)RateMark as watched
15,Star Wars: Episode V - The Empire Strikes Back,19802h 4mPG,8.7 (1.5M)RateMark as watched
16,The Matrix,19992h 16mR,8.7 (2.2M)RateMark as watched
17,GoodFellas,19902h 25mR,8.7 (1.4M)RateMark as watched
18,Interstellar,20142h 49mPG-13,8.7 (2.5M)RateMark as watched
19,One Flew Over the Cuckoo's Nest,19752h 13mR,8.6 (1.2M)RateMark as watched
20,Seven,19952h 7mR,8.6 (2M)RateMark as watched
21,It's a Wonderful Life,19462h 10mPG,8.6 (553K)RateMark as watched
22,The Silence of the Lambs,19911h 58mR,8.6 (1.7M)RateMark as watched
23,Seven Samurai,19543h 27mNot Rated,8.6 (400K)RateMark as watched
24,Saving Private Ryan,19982h 49mR,8.6 (1.6M)RateMark as watched
25,The Green Mile,19993h 9mR,8.6 (1.6M)RateMark as watched
26,City of God,20022h 10mR,8.6 (867K)RateMark as watched
27,Life Is Beautiful,19971h 56mPG-13,8.6 (809K)RateMark as watched
28,Terminator 2: Judgment Day,19912h 17mR,8.6 (1.3M)RateMark as watched
29,Star Wars: Episode IV - A New Hope,19772h 1mPG,8.6 (1.6M)RateMark as watched
30,Back to the Future,19851h 56mPG,8.5 (1.4M)RateMark as watched
31,Spirited Away,20012h 4mPG,8.6 (960K)RateMark as watched
32,The Pianist,20022h 30mR,8.5 (1M)RateMark as watched
33,Gladiator,20002h 35mR,8.5 (1.8M)RateMark as watched
34,Parasite,20192h 12mR,8.5 (1.2M)RateMark as watched
35,Grave of the Fireflies,19881h 28mNot Rated,8.5 (381K)RateMark as watched
36,Psycho,19601h 49mR,8.5 (782K)RateMark as watched
37,The Lion King,19941h 28mG,8.5 (1.3M)RateMark as watched
38,Harakiri,19622h 13mNot Rated,8.6 (90K)RateMark as watched
39,The Departed,20062h 31mR,8.5 (1.5M)RateMark as watched
40,Whiplash,20141h 46mR,8.5 (1.1M)RateMark as watched
41,Kill Bill: The Whole Bloody Affair,20044h 13mNot Rated,8.8 (31K)RateMark as watched
42,The Prestige,20062h 10mPG-13,8.5 (1.6M)RateMark as watched
43,American History X,19981h 59mR,8.5 (1.3M)RateMark as watched
44,Léon: The Professional,19941h 50mR,8.5 (1.3M)RateMark as watched
45,Spider-Man: Across the Spider-Verse,20232h 20mPG,8.5 (514K)RateMark as watched
46,Cinema Paradiso,19882h 54mPG,8.5 (316K)RateMark as watched
