title,points,link
Hacker News,637 points | 91 points | 135 points | 19 points | 35 points | 94 points | 41 points | 784 points | 3 points | 66 points,https://news.ycombinator.com/news
Hacker News,,https://news.ycombinator.com/news
,637 points | 91 points | 135 points | 19 points | 35 points | 94 points | 41 points | 784 points | 3 points | 66 points,
Astral to Join OpenAI,637 points | 91 points | 135 points | 19 points | 35 points | 94 points | 41 points | 784 points | 3 points | 66 points,https://astral.sh/blog/openai
Astral to Join OpenAI,637 points,https://astral.sh/blog/openai
ibraheemdev,637 points,https://news.ycombinator.com/user?id=ibraheemdev
,91 points,
OpenBSD: PF queues break the 4 Gbps barrier,91 points,https://undeadly.org/cgi?action=article;sid=20260319125859
defrost,91 points,https://news.ycombinator.com/user?id=defrost
,135 points,
Juggalo Makeup Blocks Facial Recognition Technology (2019),135 points,https://consequence.net/2019/07/juggalo-makeup-facial-recognition/
speckx,135 points,https://news.ycombinator.com/user?id=speckx
,19 points,
Show HN: Three new Kitten TTS models – smallest less than 25MB,19 points,https://github.com/KittenML/KittenTTS
rohan_joshi,19 points,https://news.ycombinator.com/user?id=rohan_joshi
,35 points,
The Shape of Inequalities,35 points,https://www.andreinc.net/2026/03/16/the-shape-of-inequalities/
nomemory,35 points,https://news.ycombinator.com/user?id=nomemory
,94 points,
macOS 26 breaks custom DNS settings including .internal,94 points,https://gist.github.com/adamamyl/81b78eced40feae50eae7c4f3bec1f5a
adamamyl,94 points,https://news.ycombinator.com/user?id=adamamyl
,41 points,
Consensus Board Game,41 points,https://matklad.github.io/2026/03/19/consensus-board-game.html
surprisetalk,41 points,https://news.ycombinator.com/user?id=surprisetalk
,784 points,
Afroman found not liable in defamation case,784 points,https://nypost.com/2026/03/18/us-news/afroman-found-not-liable-in-bizarre-ohio-defamation-case/
antonymoose,784 points,https://news.ycombinator.com/user?id=antonymoose
,3 points,
Launch HN: Canary (YC W26) – AI QA that understands your code,3 points,https://news.ycombinator.com/item?id=47441629
Visweshyc,3 points,https://news.ycombinator.com/user?id=Visweshyc
,66 points,
Pretraining Language Models via Neural Cellular Automata,66 points,https://hanseungwook.github.io/blog/nca-pre-pre-training/
shmublu,66 points,https://news.ycombinator.com/user?id=shmublu
,57 points,
Oil and gas prices jump after Iran and Israel attack gasfields,57 points,https://www.theguardian.com/business/2026/mar/19/oil-prices-gas-prices-rise-iran-israel-donald-trump
teleforce,57 points,https://news.ycombinator.com/user?id=teleforce
,270 points,
"Conway's Game of Life, in real life",270 points,https://lcamtuf.substack.com/p/conways-game-of-life-in-real-life
surprisetalk,270 points,https://news.ycombinator.com/user?id=surprisetalk
,15 points,
Hyper-optimized reverse geocoding API,15 points,https://github.com/traccar/traccar-geocoder
tananaev,15 points,https://news.ycombinator.com/user?id=tananaev
,312 points,
Afroman Wins Civil Trial over Use of Police Raid Footage in His Music Videos,312 points,https://www.nytimes.com/2026/03/19/us/afroman-trial-lemon-cake-verdict.html
pseudolus,312 points,https://news.ycombinator.com/user?id=pseudolus
,439 points,
Nvidia greenboost: transparently extend GPU VRAM using system RAM/NVMe,439 points,https://gitlab.com/IsolatedOctopi/nvidia_greenboost
mmastrac,439 points,https://news.ycombinator.com/user?id=mmastrac
,83 points,
"Eniac, the First General-Purpose Digital Computer, Turns 80",83 points,https://spectrum.ieee.org/eniac-80-ieee-milestone
baruchel,83 points,https://news.ycombinator.com/user?id=baruchel
,465 points,
Warranty Void If Regenerated,465 points,https://nearzero.software/p/warranty-void-if-regenerated
Stwerner,465 points,https://news.ycombinator.com/user?id=Stwerner
,14 points,
Gluon: Explicit Performance,14 points,https://www.lei.chat/posts/gluon-explicit-performance/
matt_d,14 points,https://news.ycombinator.com/user?id=matt_d
,13 points,
Ramtrack.eu – RAM Price Intelligence,13 points,https://ramtrack.eu
nu11r0ut3,13 points,https://news.ycombinator.com/user?id=nu11r0ut3
,165 points,
2% of ICML papers desk rejected because the authors used LLM in their reviews,165 points,https://blog.icml.cc/2026/03/18/on-violations-of-llm-review-policies/
sergdigon,165 points,https://news.ycombinator.com/user?id=sergdigon
,77 points,
How many branches can your CPU predict?,77 points,https://lemire.me/blog/2026/03/18/how-many-branches-can-your-cpu-predict/
ibobev,77 points,https://news.ycombinator.com/user?id=ibobev
,705 points,
Austin’s surge of new housing construction drove down rents,705 points,https://www.pew.org/en/research-and-analysis/articles/2026/03/18/austins-surge-of-new-housing-construction-drove-down-rents
matthest,705 points,https://news.ycombinator.com/user?id=matthest
,154 points,
LotusNotes,154 points,https://computer.rip/2026-03-14-lotusnotes.html
TMWNN,154 points,https://news.ycombinator.com/user?id=TMWNN
,68 points,
Stdwin: Standard window interface by Guido Van Rossum [pdf],68 points,https://ir.cwi.nl/pub/5998/5998D.pdf
ivanbelenky,68 points,https://news.ycombinator.com/user?id=ivanbelenky
,5 points,
What if Python was natively distributable?,5 points,https://medium.com/@bzurak/what-if-python-was-natively-distributable-3bfae485a408
bzurak,5 points,https://news.ycombinator.com/user?id=bzurak
,204 points,
"Show HN: Duplicate 3 layers in a 24B LLM, logical deduction .22→.76. No training",204 points,https://github.com/alainnothere/llm-circuit-finder
xlayn,204 points,https://news.ycombinator.com/user?id=xlayn
,521 points,
A sufficiently detailed spec is code,521 points,https://haskellforall.com/2026/03/a-sufficiently-detailed-spec-is-code
signa11,521 points,https://news.ycombinator.com/user?id=signa11
,232 points,
'Your Frustration Is the Product',232 points,https://daringfireball.net/2026/03/your_frustration_is_the_product
llm_nerd,232 points,https://news.ycombinator.com/user?id=llm_nerd
,334 points,
