property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
High Life Towers,High Life Towers,High Life Towers,High Life Towers,High Life Towers,High Life Towers,High Life Towers,High Life Towers,High Life Towers,https://www.magicbricks.com/high-life-towers-thanisandra-bangalore-pdpid-4d4235343137353135
Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,Brillio and Commercial at Brigade Valencia,https://www.magicbricks.com/brillio-and-commercial-at-brigade-valencia-bommasandra-bangalore-pdpid-4d4235343233333635
Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,Brigade Insignia,https://www.magicbricks.com/brigade-insignia-yelahanka-bangalore-pdpid-4d4235343231333037
Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,Ecolife Eon Akash B and C,https://www.magicbricks.com/ecolife-eon-akash-b-and-c-varthur-bangalore-pdpid-4d4235343231383231
Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,Sowparnika Whispering Petals,https://www.magicbricks.com/sowparnika-whispering-petals-hoskote-bangalore-pdpid-4d4235343338353433
Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,Assetz 66 and Shibui,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839
Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,Goyal Orchid Bloomsberry,https://www.magicbricks.com/goyal-orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737
JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,JRC Palladio,https://www.magicbricks.com/jrc-palladio-sarjapur-road-bangalore-pdpid-4d4235313231353735
Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,Brigade Sanctuary,https://www.magicbricks.com/brigade-sanctuary-sarjapur-road-bangalore-pdpid-4d4235343137383531
Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,Habulus Tranquil,https://www.magicbricks.com/habulus-tranquil-electronic-city-bangalore-pdpid-4d4235343432363035
