rank,title,year,rating
1994,The Shawshank Redemption,2h 22m,9.3 (3.2M)
1972,The Godfather,2h 55m,9.2 (2.2M)
2008,The Dark Knight,2h 32m,PG-13
1974,The Godfather Part II,3h 22m,9.0 (1.5M)
12 Angry Men,,1957,1h 36m
2003,The Lord of the Rings: The Return of the King,3h 21m,PG-13
1993,Schindler's List,3h 15m,9.0 (1.6M)
2001,The Lord of the Rings: The Fellowship of the Ring,2h 58m,PG-13
1994,Pulp Fiction,2h 34m,8.8 (2.4M)
1966,"The Good, the Bad and the Ugly",2h 58m,8.8 (887K)
2002,The Lord of the Rings: The Two Towers,2h 59m,PG-13
1994,Forrest Gump,2h 22m,PG-13
1999,Fight Club,2h 19m,8.8 (2.6M)
2010,Inception,2h 28m,PG-13
1980,Star Wars: Episode V - The Empire Strikes Back,2h 4m,8.7 (1.5M)
1999,The Matrix,2h 16m,8.7 (2.2M)
1990,GoodFellas,2h 25m,8.7 (1.4M)
2014,Interstellar,2h 49m,PG-13
1975,One Flew Over the Cuckoo's Nest,2h 13m,8.6 (1.2M)
1995,Seven,2h 7m,8.6 (2M)
1946,It's a Wonderful Life,2h 10m,8.6 (553K)
1991,The Silence of the Lambs,1h 58m,8.6 (1.7M)
1954,Seven Samurai,3h 27m,8.6 (400K)
1998,Saving Private Ryan,2h 49m,8.6 (1.6M)
1999,The Green Mile,3h 9m,8.6 (1.6M)
2002,City of God,2h 10m,8.6 (867K)
1997,Life Is Beautiful,1h 56m,PG-13
Terminator 2: Judgment Day,,1991,2h 17m
1977,Star Wars: Episode IV - A New Hope,2h 1m,8.6 (1.6M)
1985,Back to the Future,1h 56m,8.5 (1.4M)
2001,Spirited Away,2h 4m,8.6 (960K)
2002,The Pianist,2h 30m,8.5 (1M)
2000,Gladiator,2h 35m,8.5 (1.8M)
2019,Parasite,2h 12m,8.5 (1.2M)
1988,Grave of the Fireflies,1h 28m,8.5 (381K)
1960,Psycho,1h 49m,8.5 (782K)
1994,The Lion King,1h 28m,8.5 (1.3M)
1962,Harakiri,2h 13m,8.6 (90K)
2006,The Departed,2h 31m,8.5 (1.5M)
2014,Whiplash,1h 46m,8.5 (1.1M)
2004,Kill Bill: The Whole Bloody Affair,4h 13m,8.8 (31K)
2006,The Prestige,2h 10m,PG-13
1998,American History X,1h 59m,8.5 (1.3M)
1994,Léon: The Professional,1h 50m,8.5 (1.3M)
2023,Spider-Man: Across the Spider-Verse,2h 20m,8.5 (514K)
1988,Cinema Paradiso,2h 54m,8.5 (316K)
1942,Casablanca,1h 42m,8.5 (653K)
2011,The Intouchables,1h 52m,8.5 (1M)
1995,The Usual Suspects,1h 46m,8.5 (1.2M)
1979,Alien,1h 57m,8.5 (1.1M)
2012,Django Unchained,2h 45m,8.5 (1.9M)
