title,price,rating
A Light in the ...,£51.77,star-rating Three
Tipping the Velvet,£53.74,star-rating One
Soumission,£50.10,star-rating One
Sharp Objects,£47.82,star-rating Four
Sapiens: A Brief History ...,£54.23,star-rating Five
The Requiem Red,£22.65,star-rating One
The Dirty Little Secrets ...,£33.34,star-rating Four
The Coming Woman: A ...,£17.93,star-rating Three
The Boys in the ...,£22.60,star-rating Four
The Black Maria,£52.15,star-rating One
Starving Hearts (Triangular Trade ...,£13.99,star-rating Two
Shakespeare's Sonnets,£20.66,star-rating Four
Set Me Free,£17.46,star-rating Five
Scott Pilgrim's Precious Little ...,£52.29,star-rating Five
Rip it Up and ...,£35.02,star-rating Five
Our Band Could Be ...,£57.25,star-rating Three
Olio,£23.88,star-rating One
Mesaerion: The Best Science ...,£37.59,star-rating One
Libertarianism for Beginners,£51.33,star-rating Two
It's Only the Himalayas,£45.17,star-rating Two
In Her Wake,£12.84,star-rating One
How Music Works,£37.32,star-rating Two
Foolproof Preserving: A Guide ...,£30.52,star-rating Three
Chase Me (Paris Nights ...,£25.27,star-rating Five
Black Dust,£34.53,star-rating Five
Birdsong: A Story in ...,£54.64,star-rating Three
America's Cradle of Quarterbacks: ...,£22.50,star-rating Three
Aladdin and His Wonderful ...,£53.13,star-rating Three
Worlds Elsewhere: Journeys Around ...,£40.30,star-rating Five
Wall and Piece,£44.18,star-rating Four
The Four Agreements: A ...,£17.66,star-rating Five
The Five Love Languages: ...,£31.05,star-rating Three
The Elephant Tree,£23.82,star-rating Five
The Bear and the ...,£36.89,star-rating One
Sophie's World,£15.94,star-rating Five
Penny Maybe,£33.29,star-rating Three
Maude (1883-1993):She Grew Up ...,£18.02,star-rating Two
"In a Dark, Dark ...",£19.63,star-rating One
Behind Closed Doors,£52.22,star-rating Four
You can't bury them ...,£33.63,star-rating Two
