property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
"3 BHK Flat for Sale in Hebbal, Bangalore","3 BHK Flat for Sale in Hebbal, Bangalore",Project by Embassy,,Project by Embassy,Note:,,,,https://www.magicbricks.com/project-by-embassy-hebbal-bangalore-pdpid-4d4235343434313333
"3 BHK Flat for Sale in Hoskote, Bangalore","3 BHK Flat for Sale in Hoskote, Bangalore",Project by Sobha,,Project by Sobha,Note:,,,,https://www.magicbricks.com/project-by-sobha-hoskote-bangalore-pdpid-4d4235343435353939
"3 BHK Flat for Sale in Hebbal, Bangalore","3 BHK Flat for Sale in Hebbal, Bangalore",Embassy Lake Terraces,,SUPER AREA 3544 sqft TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 3,,,,,https://www.magicbricks.com/embassy-lake-terraces-hebbal-bangalore-pdpid-4d4235303236343036
"3 BHK Flat for Sale in Yelahanka, Bangalore","3 BHK Flat for Sale in Yelahanka, Bangalore",Vajram Vivera,,SUPER AREA 1680 sqft UNDER CONSTRUCTION Poss. by Feb '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/vajram-vivera-yelahanka-bangalore-pdpid-4d4235343239303735
"2 BHK Flat for Sale in Hennur Gardens, Bangalore","2 BHK Flat for Sale in Hennur Gardens, Bangalore",Disha Harmony Gardens,,SUPER AREA 1255 sqft UNDER CONSTRUCTION Poss. by Dec '27 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2 BALCONY 2,,,,,https://www.magicbricks.com/disha-harmony-gardens-hennur-bangalore-pdpid-4d4235343236353033
"3 BHK Flat for Sale in Hoskote, Bangalore","3 BHK Flat for Sale in Hoskote, Bangalore",Godrej Parkshire,,SUPER AREA 1803 sqft UNDER CONSTRUCTION Poss. by Dec '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 1,NEWLY LAUNCHED,,,,https://www.magicbricks.com/godrej-parkshire-hoskote-bangalore-pdpid-4d4235343337383731
"2 BHK Flat for Sale in Hagadur, Bangalore","2 BHK Flat for Sale in Hagadur, Bangalore",Ankuraa Pristine Park,,SUPER AREA 1288 sqft UNDER CONSTRUCTION Poss. by Dec '28 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2 BALCONY 2,NEWLY LAUNCHED,,,,https://www.magicbricks.com/ankuraa-pristine-park-hagadur-bangalore-pdpid-4d4235343338353135
3 BHK Villa for Sale in Sarjapur Road Bangalore,3 BHK Villa for Sale in Sarjapur Road Bangalore,NCC Urban Green Province,,SUPER AREA 3309 sqft TRANSACTION New Property FURNISHING Unfurnished CAR PARKING 1 Open BATHROOM 4 BALCONY 2,,,,,https://www.magicbricks.com/ncc-urban-green-province-sarjapur-road-bangalore-pdpid-4d4235303635363537
"3 BHK Flat for Sale in Yelahanka, Bangalore","3 BHK Flat for Sale in Yelahanka, Bangalore",Godrej Aveline,,SUPER AREA 1900 sqft UNDER CONSTRUCTION Poss. by Mar '31 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 3,NEWLY LAUNCHED,,,,https://www.magicbricks.com/godrej-aveline-yelahanka-bangalore-pdpid-4d4235343435373535
"3 BHK Flat for Sale in Old Madras Road, Bangalore","3 BHK Flat for Sale in Old Madras Road, Bangalore",Sattva Magnificia,,SUPER AREA 2366 sqft TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 3,,,,,https://www.magicbricks.com/sattva-magnificia-old-madras-road-bangalore-pdpid-4d4235303731323037
"3 BHK Flat for Sale in Sarjapura, Bangalore","3 BHK Flat for Sale in Sarjapura, Bangalore",The Clan by Global Edifice,,SUPER AREA 1537 sqft UNDER CONSTRUCTION Poss. by Dec '28 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/the-clan-by-global-edifice-sarjapur-bangalore-pdpid-4d4235343338333235
"3 BHK Flat for Sale in Sarjapur Road, Bangalore","3 BHK Flat for Sale in Sarjapur Road, Bangalore",Nambiar District 25,,SUPER AREA 1860 sqft UNDER CONSTRUCTION Poss. by Jan '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 3,,,,,https://www.magicbricks.com/nambiar-district-25-sarjapur-road-bangalore-pdpid-4d4235343236323331
"3 BHK Flat for Sale in Electronic City, Bangalore","3 BHK Flat for Sale in Electronic City, Bangalore",Pragathi Amber,,SUPER AREA 1550 sqft TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/pragathi-amber-electronic-city-bangalore-pdpid-4d4235313131303231
"3 BHK Flat for Sale in Sarjapur Road, Bangalore","3 BHK Flat for Sale in Sarjapur Road, Bangalore",Abhee Celestial City,,SUPER AREA 1685 sqft UNDER CONSTRUCTION Poss. by Jun '29 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2 BALCONY 1,,,,,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235
"3 BHK Flat for Sale in Bagaluru, Bangalore","3 BHK Flat for Sale in Bagaluru, Bangalore",Kumar Plumeria,,SUPER AREA 2860 sqft UNDER CONSTRUCTION Poss. by Dec '28 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 4 BALCONY 3,,,,,https://www.magicbricks.com/kumar-plumeria-bagaluru-bangalore-pdpid-4d4235343236383733
"3 BHK Flat for Sale in Hsr Layout, Bangalore","3 BHK Flat for Sale in Hsr Layout, Bangalore",Meenakshi Vrindavan,,SUPER AREA 1904 sqft TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2 BALCONY 1,,,,,https://www.magicbricks.com/meenakshi-vrindavan-hsr-layout-bangalore-pdpid-4d4235343132383437
"2 BHK Flat for Sale in Krishnarajapura, Bangalore","2 BHK Flat for Sale in Krishnarajapura, Bangalore",Brigade Lakecrest,,SUPER AREA 1326 sqft UNDER CONSTRUCTION Poss. by Mar '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 2 BALCONY 2,,,,,https://www.magicbricks.com/brigade-lakecrest-k-r-puram-bangalore-pdpid-4d4235343334303237
"3 BHK Flat for Sale in Devanahalli, Bangalore","3 BHK Flat for Sale in Devanahalli, Bangalore",Birla Trimaya Phase 3,,SUPER AREA 1125 sqft UNDER CONSTRUCTION Poss. by Aug '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/birla-trimaya-phase-3-devanahalli-bangalore-pdpid-4d4235343237393337
"3 BHK Flat for Sale in Koramangala, Bangalore","3 BHK Flat for Sale in Koramangala, Bangalore",Radiance Platinum,,SUPER AREA 2319 sqft UNDER CONSTRUCTION Poss. by Aug '29 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/radiance-platinum-koramangala-bangalore-pdpid-4d4235343233303037
"3 BHK Flat for Sale in Judicial Layout, Yelahanka, Bangalore","3 BHK Flat for Sale in Judicial Layout, Yelahanka, Bangalore",Visista By Vista Spaces Okas,,SUPER AREA 2016 sqft TRANSACTION New Property FURNISHING Unfurnished BATHROOM 4 BALCONY 2,,,,,https://www.magicbricks.com/visista-by-vista-spaces-okas-judicial-layout-bangalore-pdpid-4d4235333337393833
"3 BHK Flat for Sale in Chandapura, Bangalore","3 BHK Flat for Sale in Chandapura, Bangalore",Signature Heights,,SUPER AREA 1802 sqft UNDER CONSTRUCTION Poss. by Oct '27 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 3,,,,,https://www.magicbricks.com/signature-heights-chandapura-bangalore-pdpid-4d4235343234363233
"3 BHK Flat for Sale in Whitefield, Bangalore","3 BHK Flat for Sale in Whitefield, Bangalore",Evergreen at Prestige Raintree Park,,SUPER AREA 2492 sqft UNDER CONSTRUCTION Poss. by Jun '30 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 4 BALCONY 4,NEWLY LAUNCHED,,,,https://www.magicbricks.com/evergreen-at-prestige-raintree-park-whitefield-bangalore-pdpid-4d4235343236333131
"3 BHK Flat for Sale in Whitefield, Bangalore","3 BHK Flat for Sale in Whitefield, Bangalore",Sarang By Sumadhura Phase II,,SUPER AREA 1760 sqft UNDER CONSTRUCTION Poss. by Jun '27 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,,,,,https://www.magicbricks.com/sarang-by-sumadhura-phase-ii-whitefield-bangalore-pdpid-4d4235343237393635
"3 BHK Flat for Sale in Thanisandra Main Road, Bangalore","3 BHK Flat for Sale in Thanisandra Main Road, Bangalore",Godrej Woods,,CARPET AREA 1194 sqft UNDER CONSTRUCTION Poss. by Nov '29 TRANSACTION New Property FURNISHING Unfurnished BATHROOM 3 BALCONY 2,NEWLY LAUNCHED,,,,https://www.magicbricks.com/godrej-woods-thanisandra-main-road-bangalore-pdpid-4d4235343339323535
