property_title,bhk_type,carpet_area_sqft,price,price_per_sqft,locality,city,transaction_type,construction_status,url
,37626 Owner Properties Explore,Projects Explore,,,845 Budget Homes Explore,37626,Explore,845,https://www.magicbricks.com/owner-property-for-sale-in-bangalore-pppfs
Featured Projects,Featured Projects See all Projects,,,,,,,,
,1914 sqft,View Details,,,1130 sqft,13,1755 sqft,11,
,Max Serv,Operating Since 2015,,,2015,6000+,221,Operates in:,
,Directory for All New Projects,All Reports from RERA,,,Expert Reviews & Advice,,,,
,with,MagicDiary,,,Get Free Cab for every site visit!,Free Cab,,,
,Interior Designers,Get Instant Quote,,,300+ top verified interior brands,Calculate your interiors cost instantly,,,https://www.magicbricks.com/home-interior/
,Get Estimate,,,,,,,,
,MB Prime,,,,,,,,
New Project Gallery,,,,,,,,,
,4.0,7635 Properties for Sale,,,1353 Properties for Sale,4.4,5524 Properties for Sale,4.5,
,View Details,13,,,11,18,30,22,
,View now,,,,,,,,
#PataBadloLifeBadlo Inspiration,"India's Migration Story: Drivers, Disruptions, and Real Estate Impact Click Here",India's Migration Story:,,,,,,,https://cdn.staticmb.com/magicservicestatic/images/pblb-report.pdf
Your Real Estate Guide,See all,Ready Reckoner  - What Does it Mean and How to Calculate It?,,,"Occupancy Certificate (OC) - Meaning, Documents Required, and Importance",15+ Vastu Tips for Residential Building,Ready Reckoner Rates in Bangalore,14 Best Posh Societies In Bangalore,"https://www.magicbricks.com/blog/news-in-Bangalore/type-v2/tag-Locality,Video,Bangalore"
,650,View Details,,,1162,20,5600,15,
,Free,Post Property FREE,,,FREE,,,,
,Sobha Dream Acres,Prestige Lakeside Habitat,,,Prestige Shantiniketan,Prestige Falcon City,Adarsh Palm Retreat,Godrej Splendour,https://www.magicbricks.com/sobha-dream-acres-panathur-bangalore-pdpid-4d4235303832373635
,Interior Designers in Bangalore,Interior Designers in Hyderabad,,,Interior Designers in New Delhi,Interior Designers in Gurgaon,Interior Designers in Noida,Interior Designers in Kolkata,https://www.magicbricks.com/home-interior/interior-designers-in-bangalore
,SBI Home Loan,HDFC Home Loan,,,ICICI Home Loan,Axis Bank Home Loan,PNB Home Loan,Bank of Baroda Home Loan,https://www.magicbricks.com/homeloan/sbi
,IGRS AP,IGRS Rajasthan,,,IGRS Jharkhand,MPIGR,TNREGINET,TSMDC,https://www.magicbricks.com/blog/igrs-ap/127075.html
,4.0,7632 Properties for Sale,,,1348 Properties for Sale,4.4,5514 Properties for Sale,4.5,
